food,keywords,unit_g,serving_g,cup_g,energy_kcal,protein_g,carbs_g,fiber_g,fat_g,omega3_g,omega6_g,vit_a_ug,vit_c_mg,vit_d_ug,vit_e_mg,vit_k_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_mg,vit_b6_mg,biotin_ug,folate_ug,vit_b12_ug,choline_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,iodine_ug
Potato (boiled),potato|aloo,170,170,156,87,1.9,20,1.8,0.1,0.01,0.03,0,13,0,0.01,2,0.1,0.02,1.4,0.5,0.3,0.1,10,0,13,5,0.3,22,44,379,4,0.3,0.19,0.14,0.3,3
Sweet potato (baked),sweet potato,130,130,200,90,2,21,3.3,0.15,0.0,0.06,961,20,0,0.7,2.3,0.1,0.1,1.5,0.9,0.29,4,6,0,13,38,0.7,27,54,475,36,0.32,0.16,0.5,0.2,1
Tofu (firm),tofu,100,100,250,144,17,2.8,2.3,8.7,0.6,4.3,0,0,0,0.04,2.4,0.16,0.1,0.38,0.08,0.09,1,29,0,28,683,2.7,58,190,237,14,1.6,0.38,1.2,17,1
Pasta (cooked),pasta|spaghetti|noodles|macaroni,140,200,140,158,5.8,31,1.8,0.9,0.02,0.3,0,0,0,0.06,0.1,0.27,0.14,1.7,0.11,0.05,1,64,0,6.3,7,1.3,18,58,44,1,0.5,0.1,0.32,26,1
Lean beef (cooked),beef|burger|steak|mince,85,100,140,250,26,0,0,15,0.05,0.4,0,0,0.1,0.4,1.2,0.05,0.2,5.4,0.6,0.37,2,9,2.6,82,18,2.6,21,200,318,72,6.3,0.08,0.01,21.6,3
Tomato,tomato,123,123,180,18,0.9,3.9,1.2,0.2,0.0,0.08,42,14,0,0.54,7.9,0.04,0.02,0.59,0.09,0.08,1,15,0,6.7,10,0.27,11,24,237,5,0.17,0.06,0.11,0,2
Carrot,carrot,61,61,128,41,0.9,9.6,2.8,0.2,0.0,0.1,835,5.9,0,0.66,13.2,0.07,0.06,0.98,0.27,0.14,5,19,0,8.8,33,0.3,12,35,320,69,0.24,0.05,0.14,0.1,2
Avocado,avocado,150,75,150,160,2,8.5,6.7,14.7,0.11,1.7,7,10,0,2.1,21,0.07,0.13,1.7,1.4,0.26,3.6,81,0,14,12,0.55,29,52,485,7,0.64,0.19,0.14,0.4,1
Roti / chapati,roti|chapati|chapatti|phulka|paratha,40,80,80,297,9.8,46,4.9,7.5,0.1,2,0,0,0,0.5,1,0.4,0.15,4.8,0.5,0.2,3,40,0,20,30,2.9,80,200,250,400,1.8,0.3,2,20,3
Cooking oil,olive oil|oil,13.5,13.5,218,884,0,0,0,100,0.76,9.8,0,0,0,14,60,0,0,0,0,0,0,0,0,0.3,1,0.56,0,0,1,2,0,0,0,0,0
Butter / ghee,butter|ghee,14,14,227,717,0.9,0.1,0,81,0.3,2.7,684,0,1.5,2.3,7,0.01,0.03,0.04,0.11,0,0,3,0.17,19,24,0.02,2,24,24,11,0.09,0,0,1,0
Coffee (black),coffee,240,240,240,1,0.1,0,0,0,0,0,0,0,0,0.01,0.1,0.01,0.08,0.19,0.25,0,0,2,0,2.6,2,0.01,3,3,49,2,0.02,0,0.02,0,0
Tea (plain),tea|chai,240,240,240,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,5,0,0.4,0,0.02,1,1,37,3,0.02,0.01,0.22,0,0
Almond milk (unsweetened),almond milk,240,240,240,15,0.6,0.6,0.2,1.2,0,0.25,50,0,1.0,6.3,0,0.01,0.03,0.08,0.01,0.01,0.3,1,0,1.3,184,0.28,6.7,10,67,72,0.06,0.02,0.06,0.1,0.6
Idli,idli|idly,40,120,150,130,3.8,27,1.5,0.4,0.01,0.15,0,0,0,0.05,1,0.05,0.03,0.6,0.2,0.05,1,12,0,8,15,0.8,18,60,70,220,0.4,0.1,0.4,6,1
Dosa (plain),dosa|dosai,80,80,100,170,4,29,1.2,4,0.05,1,0,0,0,0.4,3,0.08,0.05,0.8,0.3,0.07,1,15,0,10,20,1.0,22,70,90,250,0.5,0.12,0.5,7,1
Poha,poha|flattened rice,150,150,150,180,3.5,30,1.5,5,0.05,1.2,20,5,0,0.6,5,0.1,0.03,1.2,0.3,0.1,1,10,0,8,15,2.5,25,60,110,300,0.5,0.1,0.5,4,2
Kidney beans (cooked),kidney bean|rajma|beans|bean,90,177,177,127,8.7,22.8,6.4,0.5,0.1,0.1,0,1.2,0,0.03,8.4,0.16,0.06,0.58,0.22,0.12,2,130,0,30.5,28,2.9,45,142,405,1,1.1,0.24,0.48,1.2,1
